LIBOR_date,LIBOR_price,OIS_date,OIS_price,Oil_date,Oil_price,US_equity_index_date,US_equity_index,US10Y_date,US10Y_yield,USD_trade_weighted_date,USD_trade_weighted_index
1/27/2005,2.73,1/4/2005,2.466,2/8/2005,45.4,2/1/2005,1189.41,1/4/2005,4.2886,1/31/2005,88.92
1/28/2005,2.7425,1/5/2005,2.493,2/9/2005,45.46,2/2/2005,1193.19,1/5/2005,4.2808,2/1/2005,89.23
1/31/2005,2.75,1/6/2005,2.507,2/10/2005,47.1,2/3/2005,1189.89,1/6/2005,4.2612,2/2/2005,89.23
2/1/2005,2.75,1/7/2005,2.512,2/11/2005,47.16,2/4/2005,1203.03,1/7/2005,4.269,2/3/2005,89.42
2/2/2005,2.75,1/10/2005,2.523,2/14/2005,47.44,2/7/2005,1201.72,1/10/2005,4.269,2/4/2005,89.46
2/3/2005,2.77,1/11/2005,2.528,2/15/2005,47.26,2/8/2005,1202.3,1/11/2005,4.2357,2/7/2005,90.03
2/4/2005,2.77,1/12/2005,2.533,2/16/2005,48.33,2/9/2005,1191.99,1/12/2005,4.2337,2/8/2005,90.08
2/7/2005,2.77,1/13/2005,2.555,2/17/2005,47.54,2/10/2005,1197.01,1/13/2005,4.1635,2/9/2005,90.13
2/8/2005,2.77063,1/14/2005,2.567,2/18/2005,48.35,2/11/2005,1205.3,1/14/2005,4.208,2/10/2005,89.78
2/9/2005,2.77438,1/17/2005,2.567,2/22/2005,51.15,2/14/2005,1206.14,1/17/2005,4.2082,2/11/2005,89.7
2/10/2005,2.79,1/18/2005,2.572,2/23/2005,51.17,2/15/2005,1210.12,1/18/2005,4.1848,2/14/2005,89.27
2/11/2005,2.79438,1/19/2005,2.573,2/24/2005,51.39,2/16/2005,1210.34,1/19/2005,4.1711,2/15/2005,89.17
2/14/2005,2.8,1/20/2005,2.59,2/25/2005,51.49,2/17/2005,1200.75,1/20/2005,4.1614,2/16/2005,89.49
2/15/2005,2.81,1/21/2005,2.589,2/28/2005,51.75,2/18/2005,1201.59,1/21/2005,4.1399,2/17/2005,89.08
2/16/2005,2.82,1/24/2005,2.593,3/1/2005,51.68,2/22/2005,1184.16,1/24/2005,4.1204,2/18/2005,89.07
2/17/2005,2.8475,1/25/2005,2.605,3/2/2005,53.05,2/23/2005,1190.8,1/25/2005,4.1925,2/22/2005,88.35
2/18/2005,2.85,1/26/2005,2.6125,3/3/2005,53.57,2/24/2005,1200.2,1/26/2005,4.1964,2/23/2005,88.67
2/21/2005,2.86,1/27/2005,2.622,3/4/2005,53.78,2/25/2005,1211.37,1/27/2005,4.2179,2/24/2005,88.81
2/22/2005,2.87,1/28/2005,2.637,3/7/2005,53.89,2/28/2005,1203.6,1/28/2005,4.1397,2/25/2005,88.77
2/23/2005,2.87313,1/31/2005,2.639,3/8/2005,54.59,3/1/2005,1210.41,1/31/2005,4.128,2/28/2005,89.27
2/24/2005,2.89,2/1/2005,2.646,3/9/2005,54.77,3/2/2005,1210.08,2/1/2005,4.1377,3/1/2005,88.66
2/25/2005,2.91,2/2/2005,2.647,3/10/2005,53.54,3/3/2005,1210.47,2/2/2005,4.1396,3/2/2005,88.76
2/28/2005,2.92,2/3/2005,2.671,3/11/2005,54.43,3/4/2005,1222.12,2/3/2005,4.163,3/3/2005,88.88
3/1/2005,2.93,2/4/2005,2.666,3/14/2005,54.95,3/7/2005,1225.31,2/4/2005,4.0753,3/4/2005,88.36
3/2/2005,2.94,2/7/2005,2.668,3/15/2005,55.05,3/8/2005,1219.43,2/7/2005,4.0501,3/7/2005,88.42
3/3/2005,2.95,2/8/2005,2.675,3/16/2005,56.46,3/9/2005,1207.01,2/8/2005,4.0153,3/8/2005,87.91
3/4/2005,2.95875,2/9/2005,2.683,3/17/2005,56.4,3/10/2005,1209.25,2/9/2005,3.979,3/9/2005,87.63
3/7/2005,2.96,2/10/2005,2.704,3/18/2005,56.72,3/11/2005,1200.08,2/10/2005,4.0888,3/10/2005,87.61
3/8/2005,2.97,2/11/2005,2.712,3/21/2005,56.62,3/14/2005,1206.83,2/11/2005,4.0844,3/11/2005,87.44
3/9/2005,2.98,2/14/2005,2.713,3/22/2005,56.03,3/15/2005,1197.75,2/14/2005,4.069,3/14/2005,88.02
3/10/2005,3,2/15/2005,2.724,3/23/2005,53.81,3/16/2005,1188.07,2/15/2005,4.096,3/15/2005,88.13
3/11/2005,3.01,2/16/2005,2.727,3/24/2005,54.84,3/17/2005,1190.21,2/16/2005,4.1521,3/16/2005,87.83
3/14/2005,3.02,2/17/2005,2.755,3/28/2005,54.05,3/18/2005,1189.65,2/17/2005,4.1794,3/17/2005,87.9
3/15/2005,3.03,2/18/2005,2.758,3/29/2005,54.23,3/21/2005,1183.78,2/18/2005,4.2655,3/18/2005,88
3/16/2005,3.04,2/21/2005,2.763,3/30/2005,53.99,3/22/2005,1171.71,2/21/2005,4.2616,3/21/2005,88.59
3/17/2005,3.05,2/22/2005,2.773,3/31/2005,55.4,3/23/2005,1172.53,2/22/2005,4.2853,3/22/2005,88.37
3/18/2005,3.05,2/23/2005,2.774,4/1/2005,57.27,3/24/2005,1171.42,2/23/2005,4.2617,3/23/2005,89.09
3/21/2005,3.0525,2/24/2005,2.81,4/4/2005,57.01,3/28/2005,1174.28,2/24/2005,4.2833,3/24/2005,89.37
3/22/2005,3.06,2/25/2005,2.805,4/5/2005,56.04,3/29/2005,1165.36,2/25/2005,4.2638,3/25/2005,89.38
3/23/2005,3.09,2/28/2005,2.82,4/6/2005,55.85,3/30/2005,1181.41,2/28/2005,4.3766,3/28/2005,89.85
3/24/2005,3.09,3/1/2005,2.8295,4/7/2005,54.11,3/31/2005,1180.59,3/1/2005,4.3647,3/29/2005,89.66
3/29/2005,3.0925,3/2/2005,2.835,4/8/2005,53.32,4/1/2005,1172.92,3/2/2005,4.3767,3/30/2005,89.53
3/30/2005,3.1,3/3/2005,2.842,4/11/2005,53.71,4/4/2005,1176.12,3/3/2005,4.3768,3/31/2005,88.54
3/31/2005,3.12,3/4/2005,2.8435,4/12/2005,51.86,4/5/2005,1181.39,3/4/2005,4.3076,4/1/2005,89.5
4/1/2005,3.12,3/7/2005,2.85,4/13/2005,50.22,4/6/2005,1184.07,3/7/2005,4.3076,4/4/2005,89.85
4/4/2005,3.12,3/8/2005,2.8595,4/14/2005,51.13,4/7/2005,1191.14,3/8/2005,4.3911,4/5/2005,89.86
4/5/2005,3.1225,3/9/2005,2.872,4/15/2005,50.49,4/8/2005,1181.2,3/9/2005,4.5196,4/6/2005,89.87
4/6/2005,3.12313,3/10/2005,2.889,4/18/2005,50.37,4/11/2005,1181.21,3/10/2005,4.4633,4/7/2005,89.71
4/7/2005,3.13,3/11/2005,2.8945,4/19/2005,52.29,4/12/2005,1187.76,3/11/2005,4.5423,4/8/2005,89.61
4/8/2005,3.13,3/14/2005,2.9065,4/20/2005,52.44,4/13/2005,1173.79,3/14/2005,4.508,4/11/2005,89.53
4/11/2005,3.14,3/15/2005,2.9145,4/21/2005,54.2,4/14/2005,1162.05,3/15/2005,4.5445,4/12/2005,89.93
4/12/2005,3.14,3/16/2005,2.92,4/22/2005,55.39,4/15/2005,1142.62,3/16/2005,4.5062,4/13/2005,89.54
4/13/2005,3.14063,3/17/2005,2.927,4/25/2005,54.57,4/18/2005,1145.98,3/17/2005,4.464,4/14/2005,90.06
4/14/2005,3.15,3/18/2005,2.932,4/26/2005,54.2,4/19/2005,1152.78,3/18/2005,4.5066,4/15/2005,89.73
4/15/2005,3.15,3/21/2005,2.951,4/27/2005,51.61,4/20/2005,1137.5,3/21/2005,4.5229,4/18/2005,89.65
4/18/2005,3.14475,3/22/2005,2.969,4/28/2005,51.77,4/21/2005,1159.95,3/22/2005,4.6411,4/19/2005,89.37
4/19/2005,3.15,3/23/2005,2.952,4/29/2005,49.72,4/22/2005,1152.12,3/23/2005,4.5841,4/20/2005,89.19
4/20/2005,3.15,3/24/2005,2.969,5/2/2005,50.92,4/25/2005,1162.1,3/24/2005,4.5968,4/21/2005,89.27
4/21/2005,3.16063,3/25/2005,2.971,5/3/2005,49.5,4/26/2005,1151.74,3/25/2005,4.5929,4/22/2005,88.96
4/22/2005,3.17,3/28/2005,2.9875,5/4/2005,50.13,4/27/2005,1156.38,3/28/2005,4.64,4/25/2005,89.11
4/25/2005,3.18,3/29/2005,2.988,5/5/2005,50.83,4/28/2005,1143.22,3/29/2005,4.5726,4/26/2005,89.32
4/26/2005,3.18688,3/30/2005,2.971,5/6/2005,50.96,4/29/2005,1156.85,3/30/2005,4.5462,4/27/2005,89.42
4/27/2005,3.19,3/31/2005,2.979,5/9/2005,52.03,5/2/2005,1162.16,3/31/2005,4.4815,4/28/2005,89.51
4/28/2005,3.21,4/1/2005,2.98,5/10/2005,52.07,5/3/2005,1161.17,4/1/2005,4.4475,4/29/2005,89.31
4/29/2005,3.21,4/4/2005,2.999,5/11/2005,50.45,5/4/2005,1175.65,4/4/2005,4.4556,5/2/2005,89.48
5/3/2005,3.21938,4/5/2005,3.0065,5/12/2005,48.54,5/5/2005,1172.63,4/5/2005,4.4678,5/3/2005,89.44
5/4/2005,3.22,4/6/2005,3.01,5/13/2005,48.67,5/6/2005,1171.35,4/6/2005,4.4215,5/4/2005,89.15
5/5/2005,3.2285,4/7/2005,3.028,5/16/2005,48.61,5/9/2005,1178.84,4/7/2005,4.4802,5/5/2005,88.94
5/6/2005,3.23,4/8/2005,3.017,5/17/2005,48.97,5/10/2005,1166.22,4/8/2005,4.4683,5/6/2005,89.22
5/9/2005,3.25,4/11/2005,3.051,5/18/2005,47.25,5/11/2005,1171.11,4/11/2005,4.428,5/9/2005,89.3
5/10/2005,3.25,4/12/2005,3.046,5/19/2005,46.92,5/12/2005,1159.36,4/12/2005,4.3518,5/10/2005,89.26
5/11/2005,3.26,4/13/2005,3.045,5/20/2005,46.8,5/13/2005,1154.05,4/13/2005,4.3599,5/11/2005,89.56
5/12/2005,3.26813,4/14/2005,3.051,5/23/2005,49.16,5/16/2005,1165.69,4/14/2005,4.308,5/12/2005,89.91
5/13/2005,3.27,4/15/2005,3.046,5/24/2005,49.67,5/17/2005,1173.8,4/15/2005,4.2406,5/13/2005,90.33
5/16/2005,3.27,4/18/2005,3.087,5/25/2005,50.98,5/18/2005,1185.56,4/18/2005,4.2704,5/16/2005,90.55
5/17/2005,3.27,4/19/2005,3.051,5/26/2005,51.01,5/19/2005,1191.08,4/19/2005,4.2109,5/17/2005,90.4
5/18/2005,3.28,4/20/2005,3.045,5/27/2005,51.85,5/20/2005,1189.28,4/20/2005,4.1853,5/18/2005,90.26
5/19/2005,3.28438,4/21/2005,3.111,5/31/2005,51.97,5/23/2005,1193.86,4/21/2005,4.2945,5/19/2005,90.39
5/20/2005,3.29,4/22/2005,3.078,6/1/2005,54.6,5/24/2005,1194.07,4/22/2005,4.2449,5/20/2005,90.71
5/23/2005,3.29375,4/25/2005,3.082,6/2/2005,53.63,5/25/2005,1190.01,4/25/2005,4.2469,5/23/2005,90.49
5/24/2005,3.29875,4/26/2005,3.09,6/3/2005,55.03,5/26/2005,1197.62,4/26/2005,4.2649,5/24/2005,90.47
5/25/2005,3.31,4/27/2005,3.093,6/6/2005,54.49,5/27/2005,1198.78,4/27/2005,4.2232,5/25/2005,90.45
5/26/2005,3.32,4/28/2005,3.102,6/7/2005,53.76,5/31/2005,1191.5,4/28/2005,4.1442,5/26/2005,90.79
5/27/2005,3.33,4/29/2005,3.113,6/8/2005,52.54,6/1/2005,1202.27,4/29/2005,4.1976,5/27/2005,90.41
5/31/2005,3.3375,5/2/2005,3.115,6/9/2005,54.28,6/2/2005,1204.29,5/2/2005,4.1858,5/31/2005,90.01
6/1/2005,3.35,5/3/2005,3.12,6/10/2005,53.54,6/3/2005,1196.02,5/3/2005,4.1641,6/1/2005,90.93
6/2/2005,3.35,5/4/2005,3.1245,6/13/2005,55.62,6/6/2005,1197.51,5/4/2005,4.1859,6/2/2005,90.83
6/3/2005,3.36,5/5/2005,3.123,6/14/2005,55,6/7/2005,1197.26,5/5/2005,4.1543,6/3/2005,90.82
6/6/2005,3.37,5/6/2005,3.1445,6/15/2005,55.57,6/8/2005,1194.67,5/6/2005,4.2576,6/6/2005,90.53
6/7/2005,3.37,5/9/2005,3.15,6/16/2005,56.58,6/9/2005,1200.93,5/9/2005,4.2816,6/7/2005,90.5
6/8/2005,3.37938,5/10/2005,3.15,6/17/2005,58.47,6/10/2005,1198.11,5/10/2005,4.2,6/8/2005,90.4
6/9/2005,3.39,5/11/2005,3.159,6/20/2005,59.37,6/13/2005,1200.82,5/11/2005,4.202,6/9/2005,90.88
6/10/2005,3.4,5/12/2005,3.168,6/21/2005,58.9,6/14/2005,1203.91,5/12/2005,4.1703,6/10/2005,91.11
6/13/2005,3.41,5/13/2005,3.164,6/22/2005,58.09,6/15/2005,1206.58,5/13/2005,4.1173,6/13/2005,91.64
6/14/2005,3.41375,5/16/2005,3.174,6/23/2005,59.42,6/16/2005,1210.96,5/16/2005,4.1269,6/14/2005,91.53
6/15/2005,3.42063,5/17/2005,3.178,6/24/2005,59.84,6/17/2005,1216.96,5/17/2005,4.1134,6/15/2005,91.15
6/16/2005,3.43,5/18/2005,3.195,6/27/2005,60.54,6/20/2005,1216.1,5/18/2005,4.0884,6/16/2005,91.07
6/17/2005,3.43938,5/19/2005,3.198,6/28/2005,58.2,6/21/2005,1213.61,5/19/2005,4.1115,6/17/2005,90.68
6/20/2005,3.44375,5/20/2005,3.2,6/29/2005,57.26,6/22/2005,1213.88,5/20/2005,4.121,6/20/2005,90.96
6/21/2005,3.45188,5/23/2005,3.213,6/30/2005,56.5,6/23/2005,1200.73,5/23/2005,4.0538,6/21/2005,90.76
6/22/2005,3.46,5/24/2005,3.213,7/1/2005,58.75,6/24/2005,1191.57,5/24/2005,4.0271,6/22/2005,90.96
6/23/2005,3.47,5/25/2005,3.225,7/5/2005,59.59,6/27/2005,1190.69,5/25/2005,4.0864,6/23/2005,90.97
6/24/2005,3.47813,5/26/2005,3.24,7/6/2005,61.28,6/28/2005,1201.57,5/26/2005,4.0787,6/24/2005,91.02
6/27/2005,3.48,5/27/2005,3.245,7/7/2005,60.73,6/29/2005,1199.85,5/27/2005,4.0709,6/27/2005,90.93
6/28/2005,3.49,5/30/2005,3.246,7/8/2005,59.63,6/30/2005,1191.33,5/30/2005,4.069,6/28/2005,91.26
6/29/2005,3.50438,5/31/2005,3.2475,7/11/2005,58.92,7/1/2005,1194.44,5/31/2005,3.981,6/29/2005,91.16
6/30/2005,3.51625,6/1/2005,3.2538,7/12/2005,60.62,7/5/2005,1204.99,6/1/2005,3.8844,6/30/2005,90.97
7/1/2005,3.52875,6/2/2005,3.26,7/13/2005,60.01,7/6/2005,1194.94,6/2/2005,3.9032,7/1/2005,92
7/4/2005,3.5475,6/3/2005,3.269,7/14/2005,57.8,7/7/2005,1197.87,6/3/2005,3.9732,7/5/2005,92.23
7/5/2005,3.55,6/6/2005,3.278,7/15/2005,58.09,7/8/2005,1211.86,6/6/2005,3.9522,7/6/2005,92.19
7/6/2005,3.56,6/7/2005,3.276,7/18/2005,57.32,7/11/2005,1219.44,6/7/2005,3.901,7/7/2005,92.15
7/7/2005,3.55,6/8/2005,3.2878,7/19/2005,57.46,7/12/2005,1222.21,6/8/2005,3.9331,7/8/2005,92.03
7/8/2005,3.56063,6/9/2005,3.305,7/20/2005,56.72,7/13/2005,1223.29,6/9/2005,3.9483,7/11/2005,91.42
7/11/2005,3.57,6/10/2005,3.323,7/21/2005,57.13,7/14/2005,1226.5,6/10/2005,4.0514,7/12/2005,90.9
7/12/2005,3.58,6/13/2005,3.328,7/22/2005,58.65,7/15/2005,1227.92,6/13/2005,4.0918,7/13/2005,91.31
7/13/2005,3.59875,6/14/2005,3.334,7/25/2005,59,7/18/2005,1221.13,6/14/2005,4.1072,7/14/2005,91.27
7/14/2005,3.60875,6/15/2005,3.3475,7/26/2005,59.2,7/19/2005,1229.35,6/15/2005,4.0995,7/15/2005,91.56
7/15/2005,3.61438,6/16/2005,3.348,7/27/2005,59.11,7/20/2005,1235.2,6/16/2005,4.0667,7/18/2005,91.26
7/18/2005,3.62,6/17/2005,3.358,7/28/2005,59.94,7/21/2005,1227.04,6/17/2005,4.0705,7/19/2005,91.77
7/19/2005,3.63,6/20/2005,3.373,7/29/2005,60.57,7/22/2005,1233.68,6/20/2005,4.1091,7/20/2005,91.88
7/20/2005,3.64,6/21/2005,3.384,8/1/2005,61.57,7/25/2005,1229.03,6/21/2005,4.0396,7/21/2005,90.79
7/21/2005,3.65,6/22/2005,3.383,8/2/2005,61.89,7/26/2005,1231.16,6/22/2005,3.94,7/22/2005,91.02
7/22/2005,3.66,6/23/2005,3.401,8/3/2005,60.86,7/27/2005,1236.79,6/23/2005,3.9514,7/25/2005,91.11
7/25/2005,3.6625,6/24/2005,3.4013,8/4/2005,61.38,7/28/2005,1243.72,6/24/2005,3.917,7/26/2005,91.59
7/26/2005,3.66913,6/27/2005,3.4123,8/5/2005,62.31,7/29/2005,1234.18,6/27/2005,3.9017,7/27/2005,91.55
7/27/2005,3.68,6/28/2005,3.415,8/8/2005,63.94,8/1/2005,1235.35,6/28/2005,3.9703,7/28/2005,91.32
7/28/2005,3.69313,6/29/2005,3.428,8/9/2005,63.07,8/2/2005,1244.12,6/29/2005,3.9779,7/29/2005,91.14
7/29/2005,3.7,6/30/2005,3.45,8/10/2005,64.9,8/3/2005,1245.04,6/30/2005,3.913,8/1/2005,90.81
8/1/2005,3.71,7/1/2005,3.455,8/11/2005,65.8,8/4/2005,1235.86,7/1/2005,4.0489,8/2/2005,90.62
8/2/2005,3.72,7/4/2005,3.457,8/12/2005,66.86,8/5/2005,1226.42,7/4/2005,4.0373,8/3/2005,90.34
8/3/2005,3.73313,7/5/2005,3.4705,8/15/2005,66.27,8/8/2005,1223.13,7/5/2005,4.105,8/4/2005,90.21
8/4/2005,3.74688,7/6/2005,3.48,8/16/2005,66.08,8/9/2005,1231.38,7/6/2005,4.0682,8/5/2005,90.58
8/5/2005,3.75,7/7/2005,3.476,8/17/2005,63.25,8/10/2005,1229.13,7/7/2005,4.0605,8/8/2005,90.4
8/8/2005,3.76,7/8/2005,3.491,8/18/2005,63.27,8/11/2005,1237.81,7/8/2005,4.0914,8/9/2005,90.52
8/9/2005,3.78,7/11/2005,3.495,8/19/2005,65.35,8/12/2005,1230.39,7/11/2005,4.0933,8/10/2005,90.21
8/10/2005,3.78,7/12/2005,3.5115,8/22/2005,65.45,8/15/2005,1233.87,7/12/2005,4.142,8/11/2005,89.77
8/11/2005,3.79,7/13/2005,3.52,8/23/2005,65.71,8/16/2005,1219.34,7/13/2005,4.1556,8/12/2005,89.65
8/12/2005,3.79,7/14/2005,3.533,8/24/2005,67.32,8/17/2005,1220.24,7/14/2005,4.1732,8/15/2005,89.76
8/15/2005,3.79688,7/15/2005,3.541,8/25/2005,67.49,8/18/2005,1219.02,7/15/2005,4.1635,8/16/2005,89.81
8/16/2005,3.80188,7/18/2005,3.55,8/26/2005,66.13,8/19/2005,1219.71,7/18/2005,4.2204,8/17/2005,90.12
8/17/2005,3.81,7/19/2005,3.555,8/29/2005,67.2,8/22/2005,1221.73,7/19/2005,4.1792,8/18/2005,90.68
8/18/2005,3.82,7/20/2005,3.562,8/30/2005,69.81,8/23/2005,1217.57,7/20/2005,4.1576,8/19/2005,90.79
8/19/2005,3.82288,7/21/2005,3.58,8/31/2005,68.94,8/24/2005,1209.59,7/21/2005,4.2757,8/22/2005,90.44
8/22/2005,3.83,7/22/2005,3.58,9/1/2005,69.47,8/25/2005,1212.4,7/22/2005,4.2185,8/23/2005,90.44
8/23/2005,3.83625,7/25/2005,3.5845,9/2/2005,67.57,8/26/2005,1205.1,7/25/2005,4.2442,8/24/2005,90.54
8/24/2005,3.84063,7/26/2005,3.5945,9/6/2005,65.96,8/29/2005,1212.28,7/26/2005,4.2245,8/25/2005,90.18
8/25/2005,3.86,7/27/2005,3.606,9/7/2005,64.37,8/30/2005,1208.41,7/27/2005,4.2541,8/26/2005,90.29
8/26/2005,3.86,7/28/2005,3.618,9/8/2005,64.49,8/31/2005,1220.33,7/28/2005,4.1891,8/29/2005,90.65
8/30/2005,3.87,7/29/2005,3.627,9/9/2005,64.08,9/1/2005,1221.59,7/29/2005,4.276,8/30/2005,90.8
8/31/2005,3.87,8/1/2005,3.637,9/12/2005,63.34,9/2/2005,1218.02,8/1/2005,4.3099,8/31/2005,90.35
9/1/2005,3.855,8/2/2005,3.649,9/13/2005,63.11,9/6/2005,1233.39,8/2/2005,4.3338,9/1/2005,89.77
9/2/2005,3.761,8/3/2005,3.66,9/14/2005,65.09,9/7/2005,1236.36,8/3/2005,4.292,9/2/2005,89.53
9/5/2005,3.77625,8/4/2005,3.6725,9/15/2005,64.75,9/8/2005,1231.67,8/4/2005,4.312,9/6/2005,89.58
9/6/2005,3.79,8/5/2005,3.683,9/16/2005,63,9/9/2005,1241.48,8/5/2005,4.3861,9/7/2005,89.7
9/7/2005,3.79813,8/8/2005,3.6935,9/19/2005,67.39,9/12/2005,1240.56,8/8/2005,4.4184,9/8/2005,89.82
9/8/2005,3.83375,8/9/2005,3.705,9/20/2005,66.23,9/13/2005,1231.2,8/9/2005,4.3883,9/9/2005,89.58
9/9/2005,3.85,8/10/2005,3.7105,9/21/2005,66.8,9/14/2005,1227.16,8/10/2005,4.3903,9/12/2005,89.99
9/12/2005,3.85688,8/11/2005,3.72,9/22/2005,66.5,9/15/2005,1227.73,8/11/2005,4.3203,9/13/2005,90.18
9/13/2005,3.87,8/12/2005,3.725,9/23/2005,64.19,9/16/2005,1237.91,8/12/2005,4.2423,9/14/2005,90.13
9/14/2005,3.87438,8/15/2005,3.7295,9/26/2005,65.82,9/19/2005,1231.02,8/15/2005,4.281,9/15/2005,90.38
9/15/2005,3.88563,8/16/2005,3.7373,9/27/2005,65.07,9/20/2005,1221.34,8/16/2005,4.2056,9/16/2005,90.51
9/16/2005,3.89,8/17/2005,3.75,9/28/2005,66.35,9/21/2005,1210.2,8/17/2005,4.2674,9/19/2005,90.45
9/19/2005,3.92,8/18/2005,3.7575,9/29/2005,66.79,9/22/2005,1214.62,8/18/2005,4.1978,9/20/2005,90.42
9/20/2005,3.92438,8/19/2005,3.7625,9/30/2005,66.24,9/23/2005,1215.29,8/19/2005,4.2054,9/21/2005,90.25
9/21/2005,3.96,8/22/2005,3.7755,10/3/2005,65.47,9/26/2005,1215.63,8/22/2005,4.2073,9/22/2005,90.52
9/22/2005,3.96063,8/23/2005,3.78,10/4/2005,63.9,9/27/2005,1215.66,8/23/2005,4.1784,9/23/2005,90.83
9/23/2005,3.97,8/24/2005,3.788,10/5/2005,62.79,9/28/2005,1216.89,8/24/2005,4.1649,9/26/2005,90.93
9/26/2005,4,8/25/2005,3.8015,10/6/2005,61.36,9/29/2005,1227.68,8/25/2005,4.1553,9/27/2005,91.32
9/27/2005,4.01,8/26/2005,3.8065,10/7/2005,61.84,9/30/2005,1228.81,8/26/2005,4.186,9/28/2005,91.2
9/28/2005,4.02038,8/29/2005,3.806,10/10/2005,61.8,10/3/2005,1226.7,8/29/2005,4.1667,9/29/2005,91.11
9/29/2005,4.05438,8/30/2005,3.799,10/11/2005,63.53,10/4/2005,1214.47,8/30/2005,4.0899,9/30/2005,90.33
9/30/2005,4.065,8/31/2005,3.753,10/12/2005,64.12,10/5/2005,1196.39,8/31/2005,4.0137,10/3/2005,91.31
10/3/2005,4.07688,9/1/2005,3.692,10/13/2005,63.08,10/6/2005,1191.49,9/1/2005,4.0307,10/4/2005,91.31
10/4/2005,4.09,9/2/2005,3.7,10/14/2005,62.63,10/7/2005,1195.9,9/2/2005,4.0362,10/5/2005,91.24
10/5/2005,4.1,9/5/2005,3.702,10/17/2005,64.36,10/10/2005,1187.33,9/5/2005,4.0285,10/6/2005,91.05
10/6/2005,4.11,9/6/2005,3.7155,10/18/2005,63.2,10/11/2005,1184.87,9/6/2005,4.0953,10/7/2005,91.06
10/7/2005,4.115,9/7/2005,3.76,10/19/2005,62.41,10/12/2005,1177.68,9/7/2005,4.1375,10/11/2005,91.34
10/10/2005,4.12313,9/8/2005,3.768,10/20/2005,61.03,10/13/2005,1176.84,9/8/2005,4.1452,10/12/2005,91.35
10/11/2005,4.13,9/9/2005,3.775,10/21/2005,60.63,10/14/2005,1186.57,9/9/2005,4.1181,10/13/2005,91.93
10/12/2005,4.14,9/12/2005,3.796,10/24/2005,60.32,10/17/2005,1190.1,9/12/2005,4.1701,10/14/2005,91.45
10/13/2005,4.15,9/13/2005,3.7995,10/25/2005,62.44,10/18/2005,1178.14,9/13/2005,4.1258,10/17/2005,91.54
10/14/2005,4.15938,9/14/2005,3.803,10/26/2005,60.66,10/19/2005,1195.76,9/14/2005,4.1643,10/18/2005,91.86
10/17/2005,4.1675,9/15/2005,3.8165,10/27/2005,61.09,10/20/2005,1177.8,9/15/2005,4.2107,10/19/2005,91.77
10/18/2005,4.17413,9/16/2005,3.8533,10/28/2005,61.22,10/21/2005,1179.59,9/16/2005,4.271,10/20/2005,91.74
10/19/2005,4.18063,9/19/2005,3.8455,10/31/2005,59.76,10/24/2005,1199.38,9/19/2005,4.2457,10/21/2005,92.01
10/20/2005,4.19375,9/20/2005,3.9025,11/1/2005,59.85,10/25/2005,1196.54,9/20/2005,4.2418,10/24/2005,91.85
10/21/2005,4.2,9/21/2005,3.893,11/2/2005,59.75,10/26/2005,1191.38,9/21/2005,4.166,10/25/2005,91.37
10/24/2005,4.20625,9/22/2005,3.902,11/3/2005,61.78,10/27/2005,1178.9,9/22/2005,4.1795,10/26/2005,91.5
10/25/2005,4.21563,9/23/2005,3.922,11/4/2005,60.58,10/28/2005,1198.41,9/23/2005,4.2456,10/27/2005,91.24
10/26/2005,4.23,9/26/2005,3.942,11/7/2005,59.47,10/31/2005,1207.01,9/26/2005,4.2906,10/28/2005,91.44
10/27/2005,4.24313,9/27/2005,3.954,11/8/2005,59.71,11/1/2005,1202.76,9/27/2005,4.2808,10/31/2005,91.5
10/28/2005,4.25,9/28/2005,3.963,11/9/2005,58.93,11/2/2005,1214.76,9/28/2005,4.2534,11/1/2005,91.74
10/31/2005,4.26,9/29/2005,3.98,11/10/2005,57.8,11/3/2005,1219.94,9/29/2005,4.2945,11/2/2005,91.57
11/1/2005,4.26063,9/30/2005,3.988,11/11/2005,57.53,11/4/2005,1220.14,9/30/2005,4.324,11/3/2005,91.91
11/2/2005,4.28,10/3/2005,4,11/14/2005,57.69,11/7/2005,1222.81,10/3/2005,4.3833,11/4/2005,92.36
11/3/2005,4.29063,10/4/2005,4.006,11/15/2005,56.98,11/8/2005,1218.59,10/4/2005,4.3674,11/7/2005,92.38
11/4/2005,4.3,10/5/2005,4.018,11/16/2005,57.88,11/9/2005,1220.65,10/5/2005,4.3398,11/8/2005,92.46
11/7/2005,4.30438,10/6/2005,4.03,11/17/2005,56.34,11/10/2005,1230.96,10/6/2005,4.3873,11/9/2005,92.44
11/8/2005,4.31,10/7/2005,4.04,11/18/2005,56.14,11/11/2005,1234.72,10/7/2005,4.354,11/10/2005,92.53
11/9/2005,4.33,10/10/2005,4.043,11/21/2005,57.7,11/14/2005,1233.76,10/10/2005,4.3557,11/14/2005,92.83
11/10/2005,4.33225,10/11/2005,4.044,11/22/2005,58.84,11/15/2005,1229.01,10/11/2005,4.3914,11/15/2005,92.72
11/11/2005,4.34,10/12/2005,4.058,11/23/2005,58.71,11/16/2005,1231.21,10/12/2005,4.4392,11/16/2005,92.83
11/14/2005,4.34,10/13/2005,4.065,11/28/2005,57.36,11/17/2005,1242.8,10/13/2005,4.4612,11/17/2005,92.63
